[2024-12-06 15:46:28.660+0800] [main] INFO  o.s.b.a.e.web.EndpointLinksResolver [58]- Exposing 1 endpoint(s) beneath base path '/actuator'
[2024-12-06 15:46:28.778+0800] [main] INFO  o.s.s.web.DefaultSecurityFilterChain [54]- Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@32787dee, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6afd0ef8, org.springframework.security.web.context.SecurityContextHolderFilter@3dcf26b5, org.springframework.security.web.header.HeaderWriterFilter@7b2adbde, org.springframework.web.filter.CorsFilter@47fe4c3e, org.springframework.security.web.authentication.logout.LogoutFilter@67f5066e, com.bili.common.filter.JwtAuthenticationTokenFilter@25dc2c0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@609a996f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2a6dfbb2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1a8042a5, org.springframework.security.web.session.SessionManagementFilter@3d577add, org.springframework.security.web.access.ExceptionTranslationFilter@1a91d15f, org.springframework.security.web.access.intercept.AuthorizationFilter@45dce9f7]
[2024-12-06 15:46:30.003+0800] [main] WARN  c.b.m.c.injector.DefaultSqlInjector [52]- class com.bili.pojo.entity.BSeckillVoucher ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
[2024-12-06 15:46:30.269+0800] [main] INFO  o.s.a.r.c.CachingConnectionFactory [650]- Attempting to connect to: [159.75.174.133:5672]
[2024-12-06 15:46:30.461+0800] [main] INFO  o.s.a.r.c.CachingConnectionFactory [592]- Created new connection: rabbitConnectionFactory#32cda33c:0/SimpleConnection@4928a347 [delegate=amqp://root@159.75.174.133:5672/, localPort=64436]
[2024-12-06 15:46:31.164+0800] [main] INFO  com.bili.web.RoaringBitmapTest [56]- Started RoaringBitmapTest in 12.69 seconds (process running for 13.625)
[2024-12-06 15:46:31.818+0800] [main] INFO  com.zaxxer.hikari.HikariDataSource [110]- HikariPool-1 - Starting...
[2024-12-06 15:46:32.438+0800] [main] INFO  com.zaxxer.hikari.pool.HikariPool [565]- HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@c7b276
[2024-12-06 15:46:32.445+0800] [main] INFO  com.zaxxer.hikari.HikariDataSource [123]- HikariPool-1 - Start completed.
[2024-12-06 15:46:32.817+0800] [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.l.SimpleMessageListenerContainer [688]- Waiting for workers to finish.
[2024-12-06 15:46:32.849+0800] [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] INFO  o.s.a.r.l.SimpleMessageListenerContainer [688]- Waiting for workers to finish.
[2024-12-06 15:46:32.956+0800] [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.l.SimpleMessageListenerContainer [692]- Successfully waited for workers to finish.
[2024-12-06 15:46:33.159+0800] [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] INFO  o.s.a.r.l.SimpleMessageListenerContainer [692]- Successfully waited for workers to finish.
[2024-12-06 15:46:33.244+0800] [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [350]- HikariPool-1 - Shutdown initiated...
[2024-12-06 15:46:33.348+0800] [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [352]- HikariPool-1 - Shutdown completed.
